t,w₁_L,w₂_L,w₁_V,w₂_V,x₁,y₁,x₂,y₂,p₁⁰,p₂⁰,γ₁,γ₂
92.0000,0.1571,0.8429,0.1827,0.8173,0.1956,0.2258,0.8044,0.7742,1273.9889,618.0565,0.6890,1.1845
90.5000,0.2125,0.7875,0.3276,0.6724,0.2604,0.3886,0.7396,0.6114,1206.4351,582.0987,0.9408,1.0802
89.2000,0.3148,0.6852,0.4341,0.5659,0.3747,0.5002,0.6253,0.4998,1150.3050,552.3630,0.8826,1.1007
88.0000,0.3830,0.6170,0.5236,0.4764,0.4474,0.5891,0.5526,0.4109,1100.4238,526.0505,0.9101,1.0751
87.0000,0.4171,0.5829,0.5748,0.4252,0.4827,0.6381,0.5173,0.3619,1060.2342,504.9312,0.9482,1.0540
86.0000,0.5066,0.4934,0.6259,0.3741,0.5725,0.6858,0.4275,0.3142,1021.2661,484.5253,0.8921,1.1539
85.0000,0.5833,0.4167,0.6983,0.3017,0.6461,0.7512,0.3539,0.2488,983.4909,464.8139,0.8992,1.1503
84.8000,0.6131,0.3869,0.7324,0.2676,0.6740,0.7812,0.3260,0.2188,976.0764,460.9532,0.9032,1.1073
84.0000,0.7878,0.2122,0.7495,0.2505,0.8289,0.7960,0.1711,0.2040,946.8800,445.7781,0.7714,2.0337
83.5000,0.8475,0.1525,0.8262,0.1738,0.8788,0.8611,0.1212,0.1389,929.0026,436.5079,0.8023,1.9961
