T,L,V,liquid_mass_fraction,vapor_mass_fraction,liquid_mole_fraction,vapor_mole_fraction,gamma_1,gamma_2
92.0,1.3772,1.3766,0.15714810000000057,0.18271604999999624,0.19561974359981021,0.22577036581967438,3.959008698163864,4.06249192656857
90.5,1.3759,1.3732,0.21254532500000067,0.32760110000000253,0.26038906115612626,0.3885641203191508,5.1535942921925795,3.513079073438304
89.2,1.3735,1.3707,0.3148171249999976,0.434134224999994,0.37472697668601324,0.5001750056866454,4.636986172973875,3.417145311545426
88.0,1.3719,1.3686,0.38299832500000264,0.5236220500000002,0.4474107315093219,0.5891037971524277,4.599239362835983,3.1961874572859643
87.0,1.3711,1.3674,0.4170889250000016,0.5747579499999986,0.4827488425832114,0.6380691808516759,4.6380036542735,3.021509643492655
86.0,1.369,1.3662,0.5065767500000007,0.6258938499999971,0.5724885547653641,0.6857543294775562,4.222572362559592,3.1887901470598305
85.0,1.3672,1.3645,0.5832806000000019,0.6983363749999967,0.6461042399487442,0.7512128819252606,4.117498355186655,3.063857816627203
84.8,1.3665,1.3637,0.6131098749999992,0.7324269750000028,0.6739503095514325,0.781200198382774,4.108732068498304,2.9274023411375225
84.0,1.3624,1.3633,0.7878241999999958,0.7494722750000022,0.8288590964372273,0.7960038494839057,3.4167405101174966,5.219190698205829
83.5,1.361,1.3615,0.8474827499999975,0.8261761250000035,0.8787553308461468,0.8611014564499326,3.4943689075018938,5.0278492608767085
