T/°C,P/Mpa,h/mm
,,
第一组数据,,
15,2.4,0
15,2.7,40
15,3,79*
15,3.3,111
15,3.6,140
15,3.9,161
15,4.2,183
15,4.5,203
15,4.9,239
15,5.05,244
15,5.1,249
15,5.1,254
15,5.15,259
15,5.15,264
15,5.19,269
15,5.2,274
15,5.21,279
15,5.21,284
15,5.25,289
15,5.28,294
15,5.30 ,299
15,5.32,304
15,5.35,309
15,5.39,314
15,5.49,319
15,5.55,324
15,5.83,329
15,6.22,334
15,8,337
,,
第二组数据,,
20,2.5,0
20,2.8,39
20,3.1,82
20,3.4,113
20,3.7,138
20,4,161
20,4.3,183
20,4.6,198
20,4.9,215
20,5.1,226
20,5.2,231
20,5.23,236
20,5.4,240
20,5.47,245
20,5.57,259
20,5.67,255
20,5.7,260
20,5.73,265
20,5.79,270
20,5.81,275
20,5.84,280
20,5.88,285
20,5.89,290
20,5.89,295
20,5.90 ,300
20,5.91,305
20,5.95,310
20,6,315
20,6.09,320
20,6.31,325
20,6.56,330
20,8,334
,,
第三组数据,,
25,2.55,0
25,2.85,41
25,3.15,74
25,3.45,105
25,3.75,133
25,4.05,156
25,4.35,175
25,4.65,193
25,4.95,212
25,5.25,225
25,5.55,237
25,5.85,250
25,5.95,255
25,6.1,260
25,6.2,265
25,6.3,270
25,6.45,275
25,6.5,280
25,6.55,285
25,6.57,290
25,6.6,295
25,6.61,300
25,6.68,305
25,6.69,310
25,6.78,315
25,6.81,320
25,7.09,325
25,7.49,330
25,7.8,332
25,8,333
,,
第四组数据,,
31.1,2.6,0
31.1,2.9,38
31.1,3.2,74
31.1,3.5,103
31.1,3.8,127
31.1,4.1,149
31.1,4.4,169
31.1,4.7,186
31.1,5,200
31.1,5.3,215
31.1,5.6,229
31.1,5.9,241
31.1,6.2,250
31.1,6.5,261
31.1,6.8,272
31.1,7.1,285
31.1,7.4,298
31.1,7.7,324
31.1,7.8,326
31.1,8,329
,,
第五组数据,,
36,2.7,0
36,2.95,37
36,3.2,65
36,3.45,91
36,3.7,111
36,3.95,131
36,4.2,150
36,4.45,165
36,4.7,180
36,4.95,191
36,5.2,204
36,5.45,214
36,5.7,225
36,5.95,234
36,6.2,244
36,6.45,251
36,6.7,259
36,6.95,268
36,7.2,275
36,7.45,283
36,7.7,290
36,8,299
,,
第六组数据,,
42,2.79,0
42,3.05,36.5
42,3.31,67
42,3.57,86
42,3.83,114
42,4.43,155
42,4.69,169
42,4.95,183
42,5.21,195
42,5.47,205
42,5.73,218
42,5.99,226
42,6.25,235
42,6.51,243
42,6.77,251
42,7.03,259
42,7.29,265
42,7.55,273
42,7.81,280
42,8,283
,,
第七组数据,,
47,2.81,0
47,3.07,30.9
47,3.33,68
47,3.59,84
47,3.85,107
47,4.11,126
47,4.37,142
47,4.63,161
47,4.89,173
47,5.15,187
47,5.41,198
47,5.67,207
47,5.93,219
47,6.19,226
47,6.45,235
47,6.71,243
47,6.97,249
47,7.23,257
47,7.49,262.5
47,7.75,269
47,8,274
